File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
CZ05/Asm&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-13.4/instance-out.sql,101.98,644320.06,272.01,1718583.68
CZ05/Asm&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-15.2/instance-out.sql,101.39,640568.77,270.03,1706054.36
CZ05/Asm&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-16.2/instance-out.sql,101.15,639053.73,269.23,1700994.14
CZ05/Asm&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-17.1/instance-out.sql,100.96,637842.50,268.59,1696948.64
CZ05/Asm&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-18.1/instance-out.sql,100.77,636691.02,267.98,1693102.69
CZ05/Asm&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-13.4/instance-out.sql,100.22,633163.06,266.11,1681306.46
CZ05/Asm&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-15.2/instance-out.sql,99.75,630199.40,264.55,1671407.83
CZ05/Asm&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-16.2/instance-out.sql,99.56,629002.46,263.91,1667410.05
CZ05/Asm&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-17.1/instance-out.sql,99.41,628045.55,263.41,1664213.96
CZ05/Asm&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-18.1/instance-out.sql,99.26,627135.83,262.93,1661175.52
CZ05/ECC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-13.4/instance-out.sql,88.89,2346829.81,243.83,6437641.71
CZ05/ECC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-15.2/instance-out.sql,88.50,2336641.51,242.54,6403612.80
CZ05/ECC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-16.2/instance-out.sql,88.35,2332526.75,242.02,6389869.50
CZ05/ECC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-17.1/instance-out.sql,88.22,2329237.13,241.60,6378882.15
CZ05/ECC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-18.1/instance-out.sql,88.10,2326109.77,241.21,6368436.78
CZ05/ECC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-13.4/instance-out.sql,86.32,2279156.75,235.27,6211686.06
CZ05/ECC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-15.2/instance-out.sql,86.12,2273740.03,234.58,6193594.20
CZ05/ECC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-16.2/instance-out.sql,86.04,2271552.37,234.31,6186287.43
CZ05/ECC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-17.1/instance-out.sql,85.97,2269803.40,234.09,6180445.88
CZ05/ECC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-18.1/instance-out.sql,85.91,2268140.71,233.88,6174892.48
CZ05/EPr&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-13.4/instance-out.sql,92.58,350434.41,216.94,821188.29
CZ05/EPr&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-15.2/instance-out.sql,92.26,349233.98,215.88,817178.84
CZ05/EPr&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-16.2/instance-out.sql,92.13,348749.16,215.45,815559.53
CZ05/EPr&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-17.1/instance-out.sql,92.03,348361.56,215.11,814264.95
CZ05/EPr&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-18.1/instance-out.sql,91.93,347993.08,214.78,813034.23
CZ05/EPr&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-13.4/instance-out.sql,91.34,345769.26,212.82,805593.20
CZ05/EPr&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-15.2/instance-out.sql,91.11,344898.40,212.05,802684.51
CZ05/EPr&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-16.2/instance-out.sql,91.02,344546.68,211.74,801509.78
CZ05/EPr&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-17.1/instance-out.sql,90.95,344265.49,211.49,800570.61
CZ05/EPr&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-33to65-New-SEER-18.1/instance-out.sql,90.88,343998.18,211.25,799677.77
CZ05/ERC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-13.4/instance-out.sql,65.00,17413.21,122.85,32911.70
CZ05/ERC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-15.2/instance-out.sql,64.84,17369.93,122.31,32767.12
CZ05/ERC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-16.2/instance-out.sql,64.77,17352.44,122.10,32708.73
CZ05/ERC&0&cDXGF&New&dxAC_equip/NE-dxAC-PkgAC-18to33-New-SEER-17.1/instance-out.sql,64.72,17338.47,121.92,32662.05
