File Name,Unmet Heating (Hours),Unmet Cooling (Hours)
CZ05/RtL/defaults/instance-out.sql,0,0
CZ05/RtS/defaults/instance-out.sql,0,0
CZ05/SCn/defaults/instance-out.sql,0,0
CZ05/SUn/defaults/instance-out.sql,0,0
CZ05/WRf/defaults/instance-out.sql,0,407.17
CZ06/Asm/defaults/instance-out.sql,0,4.5
CZ06/ECC/defaults/instance-out.sql,0,1015.67
CZ06/EPr/defaults/instance-out.sql,0,0
CZ06/ERC/defaults/instance-out.sql,0,0
CZ06/ESe/defaults/instance-out.sql,0,55.33
CZ06/EUn/defaults/instance-out.sql,0,446.67
CZ06/Fin/defaults/instance-out.sql,0,3.17
CZ06/Gro/defaults/instance-out.sql,0,0
CZ06/Hsp/defaults/instance-out.sql,0,76
CZ06/Lib/defaults/instance-out.sql,0,0
CZ06/MBT/defaults/instance-out.sql,0,48.33
CZ06/MLI/defaults/instance-out.sql,0,0
CZ06/Mtl/defaults/instance-out.sql,0,41.83
CZ06/Nrs/defaults/instance-out.sql,0,13.5
CZ06/OfL/defaults/instance-out.sql,2,669.67
CZ06/OfS/defaults/instance-out.sql,0,307.83
CZ06/Rel/defaults/instance-out.sql,0,4.83
CZ06/RFF/defaults/instance-out.sql,0,11.67
CZ06/RSD/defaults/instance-out.sql,0,0.33
CZ06/Rt3/defaults/instance-out.sql,0,15.5
CZ06/RtL/defaults/instance-out.sql,0,0
CZ06/RtS/defaults/instance-out.sql,0,0
CZ06/SCn/defaults/instance-out.sql,0,0
CZ06/SUn/defaults/instance-out.sql,0,0
CZ06/WRf/defaults/instance-out.sql,0,440.67
CZ07/Asm/defaults/instance-out.sql,0,0
CZ07/ECC/defaults/instance-out.sql,0,2291.33
CZ07/EPr/defaults/instance-out.sql,0,0
CZ07/ERC/defaults/instance-out.sql,0,0
CZ07/ESe/defaults/instance-out.sql,0,39.5
CZ07/EUn/defaults/instance-out.sql,0,320.17
CZ07/Fin/defaults/instance-out.sql,0,0
CZ07/Gro/defaults/instance-out.sql,0,0
CZ07/Hsp/defaults/instance-out.sql,0,121.5
CZ07/Lib/defaults/instance-out.sql,0,0
CZ07/MBT/defaults/instance-out.sql,0,21
CZ07/MLI/defaults/instance-out.sql,0,0
CZ07/Mtl/defaults/instance-out.sql,0,36.33
CZ07/Nrs/defaults/instance-out.sql,0,11.5
CZ07/OfL/defaults/instance-out.sql,1.67,873
CZ07/OfS/defaults/instance-out.sql,0,236
CZ07/Rel/defaults/instance-out.sql,0,0
CZ07/RFF/defaults/instance-out.sql,0,2.83
CZ07/RSD/defaults/instance-out.sql,0,0.33
CZ07/Rt3/defaults/instance-out.sql,0,24
CZ07/RtL/defaults/instance-out.sql,0,0
CZ07/RtS/defaults/instance-out.sql,0,0
CZ07/SCn/defaults/instance-out.sql,0,0
CZ07/SUn/defaults/instance-out.sql,0,0
CZ07/WRf/defaults/instance-out.sql,0,451.67
CZ08/Asm/defaults/instance-out.sql,0,1.17
CZ08/ECC/defaults/instance-out.sql,0,2080.83
CZ08/EPr/defaults/instance-out.sql,0,0
CZ08/ERC/defaults/instance-out.sql,0,0
CZ08/ESe/defaults/instance-out.sql,0,33.5
CZ08/EUn/defaults/instance-out.sql,0,447.67
CZ08/Fin/defaults/instance-out.sql,0,0
CZ08/Gro/defaults/instance-out.sql,0,0
CZ08/Hsp/defaults/instance-out.sql,0,150.5
CZ08/Lib/defaults/instance-out.sql,0,0
CZ08/MBT/defaults/instance-out.sql,0,29.67
CZ08/MLI/defaults/instance-out.sql,0,0
CZ08/Mtl/defaults/instance-out.sql,0,51.5
CZ08/Nrs/defaults/instance-out.sql,0,14.67
CZ08/OfL/defaults/instance-out.sql,6.83,943.67
CZ08/OfS/defaults/instance-out.sql,0,257.33
CZ08/Rel/defaults/instance-out.sql,0,27.17
CZ08/RFF/defaults/instance-out.sql,0,2.17
CZ08/RSD/defaults/instance-out.sql,0,0
CZ08/Rt3/defaults/instance-out.sql,0,13.67
CZ08/RtL/defaults/instance-out.sql,0,0
CZ08/RtS/defaults/instance-out.sql,0,0.5
CZ08/SCn/defaults/instance-out.sql,0,0
CZ08/SUn/defaults/instance-out.sql,0,0
CZ08/WRf/defaults/instance-out.sql,0,475.67
CZ09/Asm/defaults/instance-out.sql,0,8.5
CZ09/ECC/defaults/instance-out.sql,0,966.17
CZ09/EPr/defaults/instance-out.sql,0,0
CZ09/ERC/defaults/instance-out.sql,0,0
CZ09/ESe/defaults/instance-out.sql,0,42
CZ09/EUn/defaults/instance-out.sql,0,365.83
CZ09/Fin/defaults/instance-out.sql,0,0
CZ09/Gro/defaults/instance-out.sql,0,0
CZ09/Hsp/defaults/instance-out.sql,0,111
CZ09/Lib/defaults/instance-out.sql,0,0
CZ09/MBT/defaults/instance-out.sql,0,34.33
CZ09/MLI/defaults/instance-out.sql,0,0
CZ09/Mtl/defaults/instance-out.sql,0,49.83
CZ09/Nrs/defaults/instance-out.sql,0,16.67
CZ09/OfL/defaults/instance-out.sql,12.83,863.67
CZ09/OfS/defaults/instance-out.sql,0,243.33
CZ09/Rel/defaults/instance-out.sql,0,37.17
CZ09/RFF/defaults/instance-out.sql,0,2.33
CZ09/RSD/defaults/instance-out.sql,0,0
CZ09/Rt3/defaults/instance-out.sql,0,16.5
CZ09/RtL/defaults/instance-out.sql,0,0
CZ09/RtS/defaults/instance-out.sql,0,2.5
CZ09/SCn/defaults/instance-out.sql,0,0
CZ09/SUn/defaults/instance-out.sql,0,0
CZ09/WRf/defaults/instance-out.sql,0,477.17
CZ10/Asm/defaults/instance-out.sql,0,13.83
CZ10/ECC/defaults/instance-out.sql,0,997.17
CZ10/EPr/defaults/instance-out.sql,0,0.17
CZ10/ERC/defaults/instance-out.sql,0,0
CZ10/ESe/defaults/instance-out.sql,0,19.17
CZ10/EUn/defaults/instance-out.sql,0,243.67
CZ10/Fin/defaults/instance-out.sql,0,0
CZ10/Gro/defaults/instance-out.sql,0,0
CZ10/Hsp/defaults/instance-out.sql,0,119.17
CZ10/Lib/defaults/instance-out.sql,0,0
CZ10/MBT/defaults/instance-out.sql,0,38.17
CZ10/MLI/defaults/instance-out.sql,0,0
CZ10/Mtl/defaults/instance-out.sql,0,45
CZ10/Nrs/defaults/instance-out.sql,0,5.83
CZ10/OfL/defaults/instance-out.sql,7.83,721.83
CZ10/OfS/defaults/instance-out.sql,0,188.33
CZ10/Rel/defaults/instance-out.sql,0,43.67
CZ10/RFF/defaults/instance-out.sql,0,0.83
CZ10/RSD/defaults/instance-out.sql,0,0
CZ10/Rt3/defaults/instance-out.sql,0,15.67
CZ10/RtL/defaults/instance-out.sql,0,3.33
CZ10/RtS/defaults/instance-out.sql,0,1.33
CZ10/SCn/defaults/instance-out.sql,0,0
CZ10/SUn/defaults/instance-out.sql,0,0
CZ10/WRf/defaults/instance-out.sql,0,722
CZ11/Asm/defaults/instance-out.sql,0,8
CZ11/ECC/defaults/instance-out.sql,0.17,1427
CZ11/EPr/defaults/instance-out.sql,0,0
CZ11/ERC/defaults/instance-out.sql,0,0
CZ11/ESe/defaults/instance-out.sql,8,1.5
CZ11/EUn/defaults/instance-out.sql,1.17,273.5
CZ11/Fin/defaults/instance-out.sql,0,0
CZ11/Gro/defaults/instance-out.sql,0,0
CZ11/Hsp/defaults/instance-out.sql,2.83,134.33
CZ11/Lib/defaults/instance-out.sql,0,0
CZ11/MBT/defaults/instance-out.sql,2,229.67
CZ11/MLI/defaults/instance-out.sql,0,0
CZ11/Mtl/defaults/instance-out.sql,0,44.17
CZ11/Nrs/defaults/instance-out.sql,1,3.83
CZ11/OfL/defaults/instance-out.sql,9.5,418.17
CZ11/OfS/defaults/instance-out.sql,3.5,209.83
CZ11/Rel/defaults/instance-out.sql,0,287.17
CZ11/RFF/defaults/instance-out.sql,0,0
CZ11/RSD/defaults/instance-out.sql,0,0
CZ11/Rt3/defaults/instance-out.sql,3,14.67
CZ11/RtL/defaults/instance-out.sql,0,0
CZ11/RtS/defaults/instance-out.sql,0,0
CZ11/SCn/defaults/instance-out.sql,0,0
CZ11/SUn/defaults/instance-out.sql,0,0
CZ11/WRf/defaults/instance-out.sql,0,379
CZ12/Asm/defaults/instance-out.sql,0,0
CZ12/ECC/defaults/instance-out.sql,0.33,1592.83
CZ12/EPr/defaults/instance-out.sql,0,0
CZ12/ERC/defaults/instance-out.sql,0,0
CZ12/ESe/defaults/instance-out.sql,2,5.83
CZ12/EUn/defaults/instance-out.sql,1.17,277
CZ12/Fin/defaults/instance-out.sql,0,0
CZ12/Gro/defaults/instance-out.sql,0,0
CZ12/Hsp/defaults/instance-out.sql,7.67,85.5
CZ12/Lib/defaults/instance-out.sql,0,0
CZ12/MBT/defaults/instance-out.sql,0,45.67
CZ12/MLI/defaults/instance-out.sql,0,0
CZ12/Mtl/defaults/instance-out.sql,0,37.67
CZ12/Nrs/defaults/instance-out.sql,0,4.83
CZ12/OfL/defaults/instance-out.sql,16.67,742.83
CZ12/OfS/defaults/instance-out.sql,0.17,192.83
CZ12/Rel/defaults/instance-out.sql,0,118.67
CZ12/RFF/defaults/instance-out.sql,0,0
CZ12/RSD/defaults/instance-out.sql,0,0
CZ12/Rt3/defaults/instance-out.sql,0,5.83
CZ12/RtL/defaults/instance-out.sql,0,0
CZ12/RtS/defaults/instance-out.sql,0,0
CZ12/SCn/defaults/instance-out.sql,0,0
CZ12/SUn/defaults/instance-out.sql,0,0
CZ12/WRf/defaults/instance-out.sql,0,386
CZ13/Asm/defaults/instance-out.sql,0,6.83
CZ13/ECC/defaults/instance-out.sql,0.67,1483.5
CZ13/EPr/defaults/instance-out.sql,0,0
CZ13/ERC/defaults/instance-out.sql,0,0
CZ13/ESe/defaults/instance-out.sql,0.17,11.33
CZ13/EUn/defaults/instance-out.sql,0.33,447.17
CZ13/Fin/defaults/instance-out.sql,0,0
CZ13/Gro/defaults/instance-out.sql,0,0
CZ13/Hsp/defaults/instance-out.sql,7.67,213.33
CZ13/Lib/defaults/instance-out.sql,0,0
CZ13/MBT/defaults/instance-out.sql,0,175.83
CZ13/MLI/defaults/instance-out.sql,0,0
CZ13/Mtl/defaults/instance-out.sql,0,46.83
CZ13/Nrs/defaults/instance-out.sql,0,4.17
CZ13/OfL/defaults/instance-out.sql,15.5,1016
CZ13/OfS/defaults/instance-out.sql,0,237.17
CZ13/Rel/defaults/instance-out.sql,0,49.67
CZ13/RFF/defaults/instance-out.sql,0,0
CZ13/RSD/defaults/instance-out.sql,0,0
CZ13/Rt3/defaults/instance-out.sql,0,18.5
CZ13/RtL/defaults/instance-out.sql,0,0
CZ13/RtS/defaults/instance-out.sql,0,0
CZ13/SCn/defaults/instance-out.sql,0,0
CZ13/SUn/defaults/instance-out.sql,0,0
CZ13/WRf/defaults/instance-out.sql,0,404.83
CZ14/Asm/defaults/instance-out.sql,0,0.5
CZ14/ECC/defaults/instance-out.sql,0,1466
CZ14/EPr/defaults/instance-out.sql,0,3.83
CZ14/ERC/defaults/instance-out.sql,0,0
CZ14/ESe/defaults/instance-out.sql,1,7
CZ14/EUn/defaults/instance-out.sql,0,289.83
CZ14/Fin/defaults/instance-out.sql,0,0
CZ14/Gro/defaults/instance-out.sql,0,0
CZ14/Hsp/defaults/instance-out.sql,0,70.83
CZ14/Lib/defaults/instance-out.sql,0,0
CZ14/MBT/defaults/instance-out.sql,0,175.33
CZ14/MLI/defaults/instance-out.sql,0,0
CZ14/Mtl/defaults/instance-out.sql,0,52.5
CZ14/Nrs/defaults/instance-out.sql,0,0.83
CZ14/OfL/defaults/instance-out.sql,5,635.5
CZ14/OfS/defaults/instance-out.sql,0.33,238.17
CZ14/Rel/defaults/instance-out.sql,0,205.17
CZ14/RFF/defaults/instance-out.sql,0,1.67
CZ14/RSD/defaults/instance-out.sql,0,0
CZ14/Rt3/defaults/instance-out.sql,1.33,23
CZ14/RtL/defaults/instance-out.sql,0,0
CZ14/RtS/defaults/instance-out.sql,0,0
CZ14/SCn/defaults/instance-out.sql,0,0
CZ14/SUn/defaults/instance-out.sql,0,0
CZ14/WRf/defaults/instance-out.sql,0,410.5
CZ15/Asm/defaults/instance-out.sql,0,177.83
CZ15/ECC/defaults/instance-out.sql,0,1140.5
CZ15/EPr/defaults/instance-out.sql,0,11.5
CZ15/ERC/defaults/instance-out.sql,0,0
CZ15/ESe/defaults/instance-out.sql,1.5,26.83
CZ15/EUn/defaults/instance-out.sql,0,325.33
CZ15/Fin/defaults/instance-out.sql,0,42
CZ15/Gro/defaults/instance-out.sql,0,14.33
CZ15/Hsp/defaults/instance-out.sql,0,144.67
CZ15/Lib/defaults/instance-out.sql,0,75.17
CZ15/MBT/defaults/instance-out.sql,0,472.5
CZ15/MLI/defaults/instance-out.sql,0,0
CZ15/Mtl/defaults/instance-out.sql,0,67.67
CZ15/Nrs/defaults/instance-out.sql,0,12.17
CZ15/OfL/defaults/instance-out.sql,12.17,691.17
CZ15/OfS/defaults/instance-out.sql,0,348.17
CZ15/Rel/defaults/instance-out.sql,0,128.33
CZ15/RFF/defaults/instance-out.sql,0,4.83
CZ15/RSD/defaults/instance-out.sql,0,177.5
CZ15/Rt3/defaults/instance-out.sql,0.17,62.17
CZ15/RtL/defaults/instance-out.sql,0,59.5
CZ15/RtS/defaults/instance-out.sql,0,40
CZ15/SCn/defaults/instance-out.sql,0,0
CZ15/SUn/defaults/instance-out.sql,0,0
CZ15/WRf/defaults/instance-out.sql,0,458.33
CZ16/Asm/defaults/instance-out.sql,0,0
CZ16/ECC/defaults/instance-out.sql,0,1426.33
CZ16/EPr/defaults/instance-out.sql,0,0
CZ16/ERC/defaults/instance-out.sql,0,0
CZ16/ESe/defaults/instance-out.sql,2.17,5.17
CZ16/EUn/defaults/instance-out.sql,0.67,221.33
CZ16/Fin/defaults/instance-out.sql,0,0
CZ16/Gro/defaults/instance-out.sql,0,0
CZ16/Hsp/defaults/instance-out.sql,1.83,174.17
CZ16/Lib/defaults/instance-out.sql,0,0
CZ16/MBT/defaults/instance-out.sql,4,150.83
CZ16/MLI/defaults/instance-out.sql,0,0
CZ16/Mtl/defaults/instance-out.sql,0,34
CZ16/Nrs/defaults/instance-out.sql,0,1.17
CZ16/OfL/defaults/instance-out.sql,24.5,488.33
CZ16/OfS/defaults/instance-out.sql,4.33,160.67
